musname	muse_id	town	postcode	accreditation	governance	size	subject_matter	closing_date	provenance	deprivation_index	geodemographic_group	geodemographic_subgroup	admin_area	region	gov	valid
Museum Of Hartlepool	mm.domus.NE080	Hartlepool	TS24 0XF	Accredited	Government:Local Authority	large	Sea and seafaring:Mixed	Still open	domus	2.0	Services Manufacturing and Mining Legacy	Mining Legacy	/England/North East (English Region)/Tees Valley (English CA)/Hartlepool (English District or Borough)	North East (English Region)	Government	
The Light Dragoons (15th/19th The Kings Royal Hussars) Museum	mm.domus.NE001	Newcastle upon Tyne	NE1 4JA	Accredited	Independent:Not for profit	large	War and conflict:Regiment	Still open	domus	2.0	Larger Towns and Cities	Larger Towns and Cities	/England/North East (English Region)/North East (English CA)/Newcastle upon Tyne (English District or Borough)	North East (English Region)	Independent	
Belsay Hall, Castle & Gardens	mm.musa.041	nr. Ponteland	NE20 0DX	Unaccredited	Independent:English Heritage	large	Buildings:Houses:Large houses	Still open	musassoc	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/North East (English Region)/North East (English CA)/Northumberland (English District or Borough)	North East (English Region)	Independent	
Killhope Museum	mm.ace.1182	Bishop Auckland	DL13 1AR	Accredited	Government:Local Authority	medium	Industry and manufacture:Mining and quarrying	Still open	ace	5.0	Services Manufacturing and Mining Legacy	Mining Legacy	/England/North East (English Region)/North East (English CA)/County Durham (English District or Borough)	North East (English Region)	Government	
Kings Own Scottish Borderers Regimental Museum	mm.domus.NE039	Berwick-upon-Tweed	TD15 1DG	Accredited	Independent:Not for profit	medium	War and conflict:Regiment	Still open	domus	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/North East (English Region)/North East (English CA)/Northumberland (English District or Borough)	North East (English Region)	Independent	
RNLI Grace Darling Museum	mm.ace.1264	Bamburgh	NE69 7AE	Accredited	Independent:Not for profit	medium	Personality:Other	Still open	ace	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/North East (English Region)/North East (English CA)/Northumberland (English District or Borough)	North East (English Region)	Independent	
Bailiffgate Museum	mm.ace.1189	Alnwick	NE66 1LX	Accredited	Independent:Not for profit	small	Local Histories	Still open	ace	6.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/North East (English Region)/North East (English CA)/Northumberland (English District or Borough)	North East (English Region)	Independent	
Newburn Hall Motor Museum	mm.musa.259	Newcastle-upon-Tyne	NE15 8PY	Unaccredited	Independent:Private	small	Transport:Cars and motorbikes	Still open	musassoc	5.0	Larger Towns and Cities	Larger Towns and Cities	/England/North East (English Region)/North East (English CA)/Newcastle upon Tyne (English District or Borough)	North East (English Region)	Independent	
Tees Cottage Pumping Station	mm.aim82M.044	Darlington	DL3 8TF	Unaccredited	Independent:Not for profit	small	Utilities:Water and waste	Still open	aim82M	10.0	Services Manufacturing and Mining Legacy	Service Economy	/England/North East (English Region)/Tees Valley (English CA)/Darlington (English District or Borough)	North East (English Region)	Independent	
Hay Farm Heavy Horse Centre	mm.New.139	Berwick-upon-Tweed	TD12 4TR	Unaccredited	Independent:Not for profit	unknown	Rural Industry:Farming	Still open	New	4.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/North East (English Region)/North East (English CA)/Northumberland (English District or Borough)	North East (English Region)	Independent	
Science and Industry Museum	mm.domus.NW070	Manchester	M3 4FP	Accredited	Government:National	large	Science and technology:Other	Still open	domus	5.0	University Towns and Cities	University Towns and Cities	/England/North West (English Region)/Greater Manchester (English CA)/Manchester (English District or Borough)	North West (English Region)	Government	
Harris Museum And Art Gallery	mm.domus.NW085	Preston	PR1 2PP	Accredited	Government:Local Authority	large	Mixed:Encyclopaedic	Still open	domus	2.0	Larger Towns and Cities	Larger Towns and Cities	/England/North West (English Region)/Lancashire (English County)/Preston (English District or Borough)	North West (English Region)	Government	
Museum Of Liverpool	mm.ace.1274	Liverpool	L3 1DG	Accredited	Government:National	large	Local Histories	Still open	ace	6.0	Larger Towns and Cities	Larger Towns and Cities	/England/North West (English Region)/Liverpool City Region (English CA)/Liverpool (English District or Borough)	North West (English Region)	Government	
Dove Cottage And The Wordsworth Museum	mm.domus.NW053	Grasmere	LA22 9SH	Accredited	Independent:Not for profit	large	Personality:Literary	Still open	domus	6.0	English and Welsh Countryside	Older Farming Communities	/England/North West (English Region)/Cumbria (English County)/South Lakeland (English District or Borough)	North West (English Region)	Independent	
Quarry Bank Mill	mm.domus.NW027	Wilmslow	SK9 4LA	Accredited	Independent:National Trust	large	Industry and manufacture:Textiles	Still open	domus	5.0	Country Living	Country Living	/England/North West (English Region)/Cheshire East (English UA)	North West (English Region)	Independent	
Derwent Pencil Museum	mm.fcm.073	Keswick	CA12 5NG	Unaccredited	Independent:Private	large	Industry and manufacture:Other	Still open	fcm	7.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/North West (English Region)/Cumbria (English County)/Allerdale (English District or Borough)	North West (English Region)	Independent	
Hat Works Museum	mm.domus.NW191	Stockport	SK3 0EU	Accredited	Government:Local Authority	medium	Industry and manufacture:Textiles	Still open	domus	1.0	Town Living	Prosperous Towns	/England/North West (English Region)/Greater Manchester (English CA)/Stockport (English District or Borough)	North West (English Region)	Government	
Kendal Museum	mm.domus.NW023	Kendal	LA9 6BT	Accredited	Government:Local Authority	medium	Mixed:Encyclopaedic	Still open	domus	8.0	English and Welsh Countryside	Older Farming Communities	/England/North West (English Region)/Cumbria (English County)/South Lakeland (English District or Borough)	North West (English Region)	Government	
Penrith And Eden Museum	mm.domus.NW062	Penrith	CA11 7PT	Accredited	Government:Local Authority	medium	Local Histories	Still open	domus	6.0	English and Welsh Countryside	Older Farming Communities	/England/North West (English Region)/Cumbria (English County)/Eden (English District or Borough)	North West (English Region)	Government	
Lytham Hall	mm.domus.NW181	Lytham	FY8 4JX	Accredited	Independent:Not for profit	medium	Buildings:Houses:Large houses	Still open	domus	9.0	English and Welsh Countryside	Older Farming Communities	/England/North West (English Region)/Lancashire (English County)/Fylde (English District or Borough)	North West (English Region)	Independent	
Beatrix Potter Gallery	mm.domus.NW172	Hawkshead	LA22 0NS	Accredited	Independent:National Trust	medium	Personality:Literary	Still open	domus	5.0	English and Welsh Countryside	Older Farming Communities	/England/North West (English Region)/Cumbria (English County)/South Lakeland (English District or Borough)	North West (English Region)	Independent	
Port Sunlight Museum	mm.ace.1220	Port Sunlight	CH62 5DX	Accredited	Independent:Not for profit	medium	Buildings:Other	Still open	ace	3.0	Services Manufacturing and Mining Legacy	Service Economy	/England/North West (English Region)/Liverpool City Region (English CA)/Wirral (English District or Borough)	North West (English Region)	Independent	
University Of Salford Art Collection	mm.ace.1255	Salford	M5 4WT	Accredited	University	medium	Arts:Fine and decorative arts	Still open	ace	2.0	Manufacturing Traits	Industrial and Multi-ethnic	/England/North West (English Region)/Greater Manchester (English CA)/Salford (English District or Borough)	North West (English Region)	University	
Wordsworth House And Garden	mm.domus.NW178	Cockermouth	CA13 9RX	Unaccredited	Independent:National Trust	medium	Personality:Literary	Still open	domus	6.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/North West (English Region)/Cumbria (English County)/Allerdale (English District or Borough)	North West (English Region)	Independent	
Ribchester Roman Museum	mm.domus.NW152	Preston	PR3 3XS	Unaccredited	Independent:Not for profit	medium	Archaeology:Roman	Still open	domus	9.0	English and Welsh Countryside	Older Farming Communities	/England/North West (English Region)/Lancashire (English County)/Ribble Valley (English District or Borough)	North West (English Region)	Independent	
Brougham Castle	mm.ace.1110	Penrith	CA10 2AA	Unaccredited	Independent:English Heritage	medium	War and conflict:Castles and forts	Still open	ace	6.0	English and Welsh Countryside	Older Farming Communities	/England/North West (English Region)/Cumbria (English County)/Eden (English District or Borough)	North West (English Region)	Independent	
Stretton Watermill	mm.domus.NW068	Carden	SY14 7JA	Accredited	Government:Local Authority	small	Rural Industry:Watermills	Still open	domus	6.0	Town Living	Prosperous Towns	/England/North West (English Region)/Cheshire West and Chester (English UA)	North West (English Region)	Government	
Guildhall Museum, Carlisle	mm.domus.NW022	Carlisle	CA3 8JE	Accredited	Government:Local Authority	small	Other	Still open	domus	3.0	Services Manufacturing and Mining Legacy	Manufacturing Legacy	/England/North West (English Region)/Cumbria (English County)/Carlisle (English District or Borough)	North West (English Region)	Government	
Armitt Museum And Library	mm.domus.NW073	Ambleside	LA22 9BL	Accredited	Independent:Not for profit	small	Arts:Fine and decorative arts	Still open	domus	7.0	English and Welsh Countryside	Older Farming Communities	/England/North West (English Region)/Cumbria (English County)/South Lakeland (English District or Borough)	North West (English Region)	Independent	
Ruskin Museum	mm.domus.NW120	Coniston	LA21 8DU	Accredited	Independent:Not for profit	small	Personality:Literary	Still open	domus	6.0	English and Welsh Countryside	Older Farming Communities	/England/North West (English Region)/Cumbria (English County)/South Lakeland (English District or Borough)	North West (English Region)	Independent	
Knutsford Heritage Centre	mm.aim.0521	Knutsford	WA16 6ED	Unaccredited	Independent:Not for profit	small	Local Histories	Still open	aim	7.0	Country Living	Country Living	/England/North West (English Region)/Cheshire East (English UA)	North West (English Region)	Independent	
Whitworth Heritage Museum	mm.aim.1315	Whitworth	OL12 8RE	Unaccredited	Independent:Unknown	small	Local Histories	Still open	aim	5.0	Services Manufacturing and Mining Legacy	Manufacturing Legacy	/England/North West (English Region)/Lancashire (English County)/Rossendale (English District or Borough)	North West (English Region)	Independent	
Bancroft Engine Mill Trust	mm.wiki.237	Barnoldswick	BB18 5QR	Unaccredited	Independent:Not for profit	small	Industry and manufacture:Textiles	Still open	wiki	7.0	Manufacturing Traits	Urban Living	/England/North West (English Region)/Lancashire (English County)/Pendle (English District or Borough)	North West (English Region)	Independent	
Ellenroad Engine House	mm.domus.NW031	Rochdale	OL16 4LG	Unaccredited	Independent:Not for profit	small	Industry and manufacture:Steam and engines	Still open	domus	6.0	Manufacturing Traits	Industrial and Multi-ethnic	/England/North West (English Region)/Greater Manchester (English CA)/Rochdale (English District or Borough)	North West (English Region)	Independent	
North West Museum Of Road Transport	mm.domus.NW161	St. Helens	WA10 1DU	Unaccredited	Independent:Not for profit	small	Transport:Mixed	Still open	domus	2.0	Services Manufacturing and Mining Legacy	Manufacturing Legacy	/England/North West (English Region)/Liverpool City Region (English CA)/St. Helens (English District or Borough)	North West (English Region)	Independent	
Turnpike Gallery	mm.musa.361	Leigh	WN7 1EB	Unaccredited	Independent:Not for profit	small	Arts:Fine and decorative arts	Still open	musassoc	1.0	Services Manufacturing and Mining Legacy	Manufacturing Legacy	/England/North West (English Region)/Greater Manchester (English CA)/Wigan (English District or Borough)	North West (English Region)	Independent	
Horwich Heritage Centre	mm.wiki.191	Horwich	BL6 7BG	Unaccredited	Independent:Not for profit	small	Local Histories	Still open	wiki	5.0	Manufacturing Traits	Industrial and Multi-ethnic	/England/North West (English Region)/Greater Manchester (English CA)/Bolton (English District or Borough)	North West (English Region)	Independent	
Darwen Heritage Centre	mm.aim.0254	Darwen	BB3 2RG	Unaccredited	Independent:Not for profit	small	Local Histories	Still open	aim	2.0	Manufacturing Traits	Industrial and Multi-ethnic	/England/North West (English Region)/Blackburn with Darwen (English UA)	North West (English Region)	Independent	
Swarthmoor Hall	mm.New.148	Ulverston	LA12 0JQ	Unaccredited	Independent:Not for profit	unknown	Local Histories	Still open	New	10.0	English and Welsh Countryside	Older Farming Communities	/England/North West (English Region)/Cumbria (English County)/South Lakeland (English District or Borough)	North West (English Region)	Independent	
Ulster Folk And Transport Museum	mm.domus.NI016	Holywood	BT18 0EU	Accredited	Government:National	large	Mixed:Other	Still open	domus	9.0	Town Living	Prosperous Towns	/Northern Ireland/Ards and North Down (NI Loc Gov District)	Northern Ireland	Government	
Craigavon Museum Service	mm.nimc.016	Craigavon	BT66 6NJ	Accredited	Government:Local Authority	medium	Local Histories	Still open	nimc	7.0	Northern Ireland Countryside	Northern Ireland Countryside	/Northern Ireland/Armagh City (NI Loc Gov District)	Northern Ireland	Government	
Springhill	mm.domus.NI020	Magherafelt	BT45 7NQ	Accredited	Independent:National Trust	medium	Buildings:Houses:Large houses	Still open	domus	5.0	Northern Ireland Countryside	Northern Ireland Countryside	/Northern Ireland/Mid Ulster (NI Loc Gov District)	Northern Ireland	Independent	
Barn Museum	mm.nimc.013	Craigavon	BT66 6LF	Accredited	Government:Local Authority	small	Rural Industry:Rural life	Still open	nimc	8.0	Northern Ireland Countryside	Northern Ireland Countryside	/Northern Ireland/Armagh City (NI Loc Gov District)	Northern Ireland	Government	
Hezlett House	mm.nimc.009	Coleraine	BT51 4TW	Accredited	Independent:National Trust	small	Buildings:Houses:Medium houses	Still open	nimc	6.0	Northern Ireland Countryside	Northern Ireland Countryside	/Northern Ireland/Causeway Coast and Glens (NI Loc Gov District)	Northern Ireland	Independent	
Milford House Museum	mm.nimc.017	Millford village	BT60 3PD	Accredited	Independent:Not for profit	small	Buildings:Other	Still open	nimc	7.0	Northern Ireland Countryside	Northern Ireland Countryside	/Northern Ireland/Armagh City (NI Loc Gov District)	Northern Ireland	Independent	
Wilson Ancestral Home	mm.wiki.427	Dergalt	BT82 8NB	Unaccredited	Government:Local Authority	small	Personality:Political	Still open	wiki	3.0	Services Manufacturing and Mining Legacy	Mining Legacy	/Northern Ireland/Derry City and Strabane (NI Loc Gov District)	Northern Ireland	Government	
Inver Museum	mm.MDN.021	Larne	BT40 2BZ	Unaccredited	Independent:Private	small	Services:Other	Still open	MDN	3.0	Northern Ireland Countryside	Northern Ireland Countryside	/Northern Ireland/Mid and East Antrim (NI Loc Gov District)	Northern Ireland	Independent	
The Siege Museum	mm.wiki.421	Londonderry	BT48 6PJ	Unaccredited	Independent:Not for profit	small	Belief and identity:Other	Still open	wiki	1.0	Services Manufacturing and Mining Legacy	Mining Legacy	/Northern Ireland/Derry City and Strabane (NI Loc Gov District)	Northern Ireland	Independent	
Northern Irelands Secret Bunker - Cold War Museum	mm.wiki.414		BT62 1QU	Unaccredited	Independent:Private	small	War and conflict:Bunker	Still open	wiki	6.0	Northern Ireland Countryside	Northern Ireland Countryside	/Northern Ireland/Armagh City (NI Loc Gov District)	Northern Ireland	Independent	
The Nally Heritage Centre	mm.wiki.426	Carrickmore	BT79 9JX	Unaccredited	Unknown	small	Local Histories	Still open	wiki	4.0	Northern Ireland Countryside	Northern Ireland Countryside	/Northern Ireland/Fermanagh and Omagh (NI Loc Gov District)	Northern Ireland	Unknown	
Oh Yeah Music Centre	mm.New.31	Belfast	BT1 2LG	Unaccredited	Independent:Not for profit	unknown	Arts:Music	Still open	New	1.0	Larger Towns and Cities	Larger Towns and Cities	/Northern Ireland/Belfast (NI Loc Gov District)	Northern Ireland	Independent	
Paisley Museum	mm.domus.SC160	Paisley	PA1 2BA	Accredited	Government:Local Authority	large	Mixed:Encyclopaedic	Still open	domus	2.0	Scottish Industrial Heritage	Scottish Industrial Legacy	/Scotland/Renfrewshire (Scottish Council Area)	Scotland	Government	
National Gallery Of Scotland	mm.domus.SC283	Edinburgh	EH2 2EL	Accredited	Government:National	large	Arts:Fine and decorative arts	Still open	domus	4.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/City of Edinburgh (Scottish Council Area)	Scotland	Government	
The Peoples Story	mm.domus.SC138	Edinburgh	EH8 8BN	Accredited	Government:Local Authority	large	Local Histories	Still open	domus	3.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/City of Edinburgh (Scottish Council Area)	Scotland	Government	
Pollok House	mm.domus.SC134	Glasgow	G43 1AT	Accredited	Independent:National Trust for Scotland	large	Buildings:Houses:Large houses	Still open	domus	5.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/Glasgow City (Scottish Council Area)	Scotland	Independent	
Scott Monument	mm.misc.228	Edinburgh	EH2 2EJ	Unaccredited	Government:Local Authority	large	Personality:Literary	Still open	misc	4.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/City of Edinburgh (Scottish Council Area)	Scotland	Government	
Dunkeld Cathedral Chapter House Museum	mm.domus.SC296	Dunkeld	PH8 0AW	Unaccredited	Independent:Not for profit	large	Belief and identity:Church treasuries	Still open	domus	6.0	Scottish Countryside	Scottish Countryside	/Scotland/Perth and Kinross (Scottish Council Area)	Scotland	Independent	
Auld Kirk Museum	mm.domus.SC071	Glasgow	G66 1AB	Accredited	Government:Local Authority	medium	Local Histories	Still open	domus	4.0	Town Living	Prosperous Semi-rural	/Scotland/East Dunbartonshire (Scottish Council Area)	Scotland	Government	
Gracefield Arts Centre	mm.domus.SC118	Dumfries	DG1 1JQ	Accredited	Government:Local Authority	medium	Arts:Fine and decorative arts	Still open	domus	5.0	Scottish Countryside	Scottish Countryside	/Scotland/Dumfries and Galloway (Scottish Council Area)	Scotland	Government	
North Lanarkshire Heritage Centre	mm.domus.SC314	Motherwell	ML1 3HU	Accredited	Government:Local Authority	medium	Local Histories	Still open	domus	9.0	Scottish Industrial Heritage	Scottish Industrial Legacy	/Scotland/North Lanarkshire (Scottish Council Area)	Scotland	Government	
The Writers Museum	mm.mgs.147	Edinburgh	EH1 2PA	Accredited	Government:Local Authority	medium	Arts:Literature	Still open	mgs	5.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/City of Edinburgh (Scottish Council Area)	Scotland	Government	
National Mining Museum Scotland	mm.domus.SC189	Newtongrange	EH22 4QN	Accredited	Independent:Not for profit	medium	Industry and manufacture:Mining and quarrying	Still open	domus	9.0	Scottish Industrial Heritage	Scottish Industrial Legacy	/Scotland/Midlothian (Scottish Council Area)	Scotland	Independent	
Maclaurin Art Gallery	mm.domus.SC153	Ayr	KA7 4NQ	Accredited	Independent:Not for profit	medium	Arts:Fine and decorative arts	Still open	domus	10.0	Scottish Countryside	Scottish Countryside	/Scotland/South Ayrshire (Scottish Council Area)	Scotland	Independent	
Pier Arts Centre	mm.domus.SC228	Stromness	KW16 3AA	Accredited	Independent:Not for profit	medium	Arts:Fine and decorative arts	Still open	domus	8.0	Scottish Countryside	Scottish Countryside	/Scotland/Orkney Islands (Scottish Council Area)	Scotland	Independent	
The Tall Ship At Riverside	mm.mgs.299	Glasgow	G3 8RS	Accredited	Independent:Not for profit	medium	Sea and seafaring:Boats and ships	Still open	mgs	4.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/Glasgow City (Scottish Council Area)	Scotland	Independent	
Talbot Rice Gallery, University Of Edinburgh	mm.domus.SC290	Edinburgh	EH8 9YL	Accredited	University	medium	Arts:Fine and decorative arts	Still open	domus	3.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/City of Edinburgh (Scottish Council Area)	Scotland	University	
National Museum Of Flight	mm.domus.SC280	North Berwick	EH39 5LF	Unaccredited	Government:National	medium	Transport:Aviation	Still open	domus	6.0	Scottish Industrial Heritage	Scottish Industrial Legacy	/Scotland/East Lothian (Scottish Council Area)	Scotland	Government	
Aberdeen Science Centre	mm.domus.SC187	Aberdeen	AB11 6EQ	Unaccredited	Independent:Not for profit	medium	Science and technology:Other	Still open	domus	5.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/Aberdeen City (Scottish Council Area)	Scotland	Independent	
The Blackhouse	mm.misc.149	Isle of Lewis	HS2 9DB	Unaccredited	Independent:Historic Environment Scotland	medium	Buildings:Houses:Small houses	Still open	misc	5.0	Scottish Countryside	Scottish Countryside	/Scotland/Na h-Eileanan Siar (Scottish Council Area)	Scotland	Independent	
Clydebank Museum	mm.domus.SC079	Clydebank	G81 1UE	Accredited	Government:Local Authority	small	Local Histories	Still open	domus	2.0	Scottish Industrial Heritage	Scottish Industrial Legacy	/Scotland/West Dunbartonshire (Scottish Council Area)	Scotland	Government	
Alyth Museum	mm.domus.SC016	Alyth	PH11 8AF	Accredited	Government:Local Authority	small	Local Histories	Still open	domus	8.0	Scottish Countryside	Scottish Countryside	/Scotland/Perth and Kinross (Scottish Council Area)	Scotland	Government	
Shotts Heritage Centre	mm.domus.SC316	Shotts	ML7 5EN	Accredited	Government:Local Authority	small	Local Histories	Still open	domus	7.0	Scottish Industrial Heritage	Scottish Industrial Legacy	/Scotland/North Lanarkshire (Scottish Council Area)	Scotland	Government	
Annan Museum	mm.domus.SC017	Annan	DG12 6AA	Accredited	Government:Local Authority	small	Local Histories	Still open	domus	4.0	Scottish Countryside	Scottish Countryside	/Scotland/Dumfries and Galloway (Scottish Council Area)	Scotland	Government	
Dingwall Museum	mm.domus.SC098	Dingwall	IV15 9RY	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	3.0	Scottish Countryside	Scottish Countryside	/Scotland/Highland (Scottish Council Area)	Scotland	Independent	
Oban War & Peace Museum	mm.mgs.320	Oban	PA34 5PX	Accredited	Independent:Not for profit	small	Local Histories	Still open	mgs	8.0	Scottish Countryside	Scottish Countryside	/Scotland/Argyll and Bute (Scottish Council Area)	Scotland	Independent	
Portsoy Salmon Bothy	mm.mgs.321	Portsoy	AB45 2SS	Accredited	Independent:Not for profit	small	Sea and seafaring:Fishing	Still open	mgs	7.0	Country Living	Country Living	/Scotland/Aberdeenshire (Scottish Council Area)	Scotland	Independent	
Auld Skoll	mm.domus.SC033	Fair Isle	ZE2 9JU	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	7.0	Country Living	Country Living	/Scotland/Shetland Islands (Scottish Council Area)	Scotland	Independent	
Dundee Museum Of Transport	mm.aim.0287	Dundee	DD1 3LA	Accredited	Independent:Not for profit	small	Transport:Mixed	Still open	aim	2.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/Dundee City (Scottish Council Area)	Scotland	Independent	
Glasgow Womens Library	mm.mgs.314	Glasgow	G40 1BP	Accredited	Independent:Not for profit	small	Belief and identity:Other	Still open	mgs	1.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/Glasgow City (Scottish Council Area)	Scotland	Independent	
Tain & District Museum	mm.domus.SC197	Tain	IV19 1DY	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	7.0	Scottish Countryside	Scottish Countryside	/Scotland/Highland (Scottish Council Area)	Scotland	Independent	
Gordon Highlanders Museum	mm.domus.SC116	Aberdeen	AB15 7XH	Accredited	Independent:Not for profit	small	War and conflict:Regiment	Still open	domus	10.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/Aberdeen City (Scottish Council Area)	Scotland	Independent	
Elgin Museum	mm.domus.SC126	Elgin	IV30 1EQ	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	3.0	Scottish Countryside	Scottish Countryside	/Scotland/Moray (Scottish Council Area)	Scotland	Independent	
Cockburn Museum Of Geology, University Of Edinburgh	mm.domus.SC294	Edinburgh	EH9 3JF	Accredited	University	small	Natural world:Geology	Still open	domus	9.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/City of Edinburgh (Scottish Council Area)	Scotland	University	
Northlands Viking Centre	mm.domus.SC061	by Wick	KW1 4XP	Unaccredited	Government:Local Authority	small	Archaeology:Medieval	Still open	domus	6.0	Scottish Countryside	Scottish Countryside	/Scotland/Highland (Scottish Council Area)	Scotland	Government	
Westside Croft	mm.mgs.358	Dunnet	KW14 8YD	Unaccredited	Independent:Not for profit	small	Buildings:Houses:Small houses	Still open	mgs	6.0	Scottish Countryside	Scottish Countryside	/Scotland/Highland (Scottish Council Area)	Scotland	Independent	
Findhorn Heritage Centre	mm.wiki.485	Findhorn	IV36 3YQ	Unaccredited	Independent:Not for profit	small	Local Histories	Still open	wiki	7.0	Scottish Countryside	Scottish Countryside	/Scotland/Moray (Scottish Council Area)	Scotland	Independent	
Inveraray Jail	mm.mgs.332	Inveraray	PA32 8TX	Unaccredited	Independent:Private	small	Services:Police	Still open	mgs	7.0	Scottish Countryside	Scottish Countryside	/Scotland/Argyll and Bute (Scottish Council Area)	Scotland	Independent	
Alford Heritage Museum	mm.wiki.456	Alford	AB33 8BZ	Unaccredited	Independent:Unknown	small	Local Histories	Still open	wiki	9.0	Country Living	Country Living	/Scotland/Aberdeenshire (Scottish Council Area)	Scotland	Independent	
Bridgeton Bus Garage	mm.mgs.389	Glasgow	G40 3AH	Unaccredited	Independent:Not for profit	small	Transport:Buses and trams	Still open	mgs	1.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/Glasgow City (Scottish Council Area)	Scotland	Independent	
Hoswick Visitor Centre	mm.wiki.496	Sandwick	ZE2 9HL	Unaccredited	Independent:Unknown	small	Local Histories	Still open	wiki	7.0	Country Living	Country Living	/Scotland/Shetland Islands (Scottish Council Area)	Scotland	Independent	
Wemyss Environmental Educational Service	mm.aim82M.061	Fife	KY1 4RN	Unaccredited	Independent:Not for profit	small	Archaeology:Mixed	Still open	aim82M	4.0	Scottish Industrial Heritage	Scottish Industrial Legacy	/Scotland/Fife (Scottish Council Area)	Scotland	Independent	
The Heritage Centre And Museum	mm.mgs.383	By Oban	PA34 4RQ	Unaccredited	Independent:Not for profit	small	Local Histories	Still open	mgs	6.0	Scottish Countryside	Scottish Countryside	/Scotland/Argyll and Bute (Scottish Council Area)	Scotland	Independent	
Clan Cameron Museum	mm.mgs.361	By Spean Bridge	PH34 4EJ	Unaccredited	Independent:Not for profit	small	Belief and identity:Ethnic group	Still open	mgs	7.0	Scottish Countryside	Scottish Countryside	/Scotland/Highland (Scottish Council Area)	Scotland	Independent	
Heritage Of Golf Museum	mm.misc.067	Gullane	EH31 2BB	Unaccredited	Independent:Private	small	Leisure and sport:Other	Still open	misc	10.0	Scottish Industrial Heritage	Scottish Industrial Legacy	/Scotland/East Lothian (Scottish Council Area)	Scotland	Independent	
Savings Banks Museum	mm.aim.1258	Ruthwell	DG1 4NN	Unaccredited	Independent:Unknown	small	Other	Still open	aim	6.0	Scottish Countryside	Scottish Countryside	/Scotland/Dumfries and Galloway (Scottish Council Area)	Scotland	Independent	
Castlehill Heritage Centre	mm.wiki.479	Castletown	KW14 8TG	Unaccredited	Independent:Not for profit	small	Local Histories	Still open	wiki	6.0	Scottish Countryside	Scottish Countryside	/Scotland/Highland (Scottish Council Area)	Scotland	Independent	
Traquair House	mm.hha.157	Innerleithen	EH44 6PW	Unaccredited	Independent:Private	small	Buildings:Houses:Large houses	Still open	hha	5.0	Scottish Countryside	Scottish Countryside	/Scotland/Scottish Borders (Scottish Council Area)	Scotland	Independent	
Motoring Heritage Centre	mm.mgs.337	Alexandria	G83 0UG	Unaccredited	Independent:Not for profit	small	Transport:Cars and motorbikes	Still open	mgs	2.0	Scottish Industrial Heritage	Scottish Industrial Legacy	/Scotland/West Dunbartonshire (Scottish Council Area)	Scotland	Independent	
John Knox House Museum	mm.wiki.474	Edinburgh	EH1 1SR	Unaccredited	Independent:Not for profit	small	Personality:Religious	Still open	wiki	4.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/City of Edinburgh (Scottish Council Area)	Scotland	Independent	
Dufftown Whisky Museum	mm.misc.077	Dufftown	AB55 4AE	Unaccredited	Independent:Not for profit	small	Food and drink	Still open	misc	7.0	Scottish Countryside	Scottish Countryside	/Scotland/Moray (Scottish Council Area)	Scotland	Independent	
Castle Menzies	mm.aim82NM.032	Aberfeldy	PH15 2JD	Unaccredited	Independent:Not for profit	small	War and conflict:Castles and forts	Still open	aim82NM	7.0	Scottish Countryside	Scottish Countryside	/Scotland/Perth and Kinross (Scottish Council Area)	Scotland	Independent	
Whitrope Heritage Centre	mm.wiki.494	Hawick	TD9 9TY	Unaccredited	Independent:Unknown	small	Transport:Trains and railways	Still open	wiki	5.0	Scottish Countryside	Scottish Countryside	/Scotland/Scottish Borders (Scottish Council Area)	Scotland	Independent	
Dollar Museum	mm.domus.SC099	Dollar	FK14 7AY	Unaccredited	Independent:Not for profit	small	Local Histories	Still open	domus	9.0	Scottish Industrial Heritage	Scottish Industrial Legacy	/Scotland/Clackmannanshire (Scottish Council Area)	Scotland	Independent	
